date,description,amount_clp,category,merchant
2025-06-03T00:08:00.000Z,"Restaurantes · DOMINO'S",-117.21,"Restaurantes","DOMINO'S"
2025-06-03T14:09:00.000Z,"Entretenimiento · SPOTIFY",-131.87,"Entretenimiento","SPOTIFY"
2025-06-03T21:24:00.000Z,"Servicios · ENTEL",-292.04,"Servicios","ENTEL"
2025-06-04T02:35:00.000Z,"Restaurantes · KFC",-119.93,"Restaurantes","KFC"
2025-06-04T13:23:00.000Z,"Alimentación · LIDER",-164.68,"Alimentación","LIDER"
2025-06-04T17:02:00.000Z,"Alimentación · TOTTUS",-210.81,"Alimentación","TOTTUS"
2025-06-04T19:45:00.000Z,"Entretenimiento · NETFLIX",-106.44,"Entretenimiento","NETFLIX"
2025-06-05T13:29:00.000Z,"Alimentación · TOTTUS",-215.18,"Alimentación","TOTTUS"
2025-06-06T19:46:00.000Z,"Entretenimiento · SPOTIFY",-195.47,"Entretenimiento","SPOTIFY"
2025-06-08T13:33:00.000Z,"Servicios · MOVISTAR",-488.08,"Servicios","MOVISTAR"
2025-06-08T21:43:00.000Z,"Servicios · CLARO",-116.08,"Servicios","CLARO"
2025-06-08T22:36:00.000Z,"Salud · CONSULTA MÉDICA",-259.87,"Salud","CONSULTA MÉDICA"
2025-06-10T14:43:00.000Z,"Salud · AHUMADA",-85.74,"Salud","AHUMADA"
2025-06-10T15:31:00.000Z,"Restaurantes · KFC",-74,"Restaurantes","KFC"
2025-06-10T18:44:00.000Z,"Servicios · WOM",-557.72,"Servicios","WOM"
2025-06-11T15:22:00.000Z,"Alimentación · JUMBO",-125.29,"Alimentación","JUMBO"
2025-06-11T23:13:00.000Z,"Alimentación · MINIMARKET",-70.98,"Alimentación","MINIMARKET"
2025-06-12T02:56:00.000Z,"Salud · AHUMADA",-22.24,"Salud","AHUMADA"
2025-06-12T12:38:00.000Z,"Servicios · AGUAS",-218.74,"Servicios","AGUAS"
2025-06-12T20:29:00.000Z,"Restaurantes · MCDONALD'S",-174.03,"Restaurantes","MCDONALD'S"
2025-06-13T01:54:00.000Z,"Restaurantes · SUSHI",-47.69,"Restaurantes","SUSHI"
2025-06-15T14:12:00.000Z,"Servicios · ENEL",-128.65,"Servicios","ENEL"
2025-06-15T14:16:00.000Z,"Transporte · CABIFY",-34.09,"Transporte","CABIFY"
2025-06-15T21:24:00.000Z,"Entretenimiento · NETFLIX",-171.2,"Entretenimiento","NETFLIX"
2025-06-17T15:42:00.000Z,"Alimentación · MINIMARKET",-170.57,"Alimentación","MINIMARKET"
2025-06-17T16:06:00.000Z,"Servicios · ENTEL",-56.06,"Servicios","ENTEL"
2025-06-17T17:02:00.000Z,"Servicios · MOVISTAR",-417.03,"Servicios","MOVISTAR"
2025-06-18T15:17:00.000Z,"Servicios · AGUAS",-543.85,"Servicios","AGUAS"
2025-06-19T01:27:00.000Z,"Restaurantes · CAFETERÍA",-89.01,"Restaurantes","CAFETERÍA"
2025-06-20T01:31:00.000Z,"Salud · SALCOBRAND",-112.12,"Salud","SALCOBRAND"
2025-06-20T14:10:00.000Z,"Salud · AHUMADA",-215.75,"Salud","AHUMADA"
2025-06-20T22:48:00.000Z,"Alimentación · TOTTUS",-271.05,"Alimentación","TOTTUS"
2025-06-21T17:27:00.000Z,"Servicios · ENEL",-515.6,"Servicios","ENEL"
2025-06-21T20:53:00.000Z,"Salud · CONSULTA MÉDICA",-240.52,"Salud","CONSULTA MÉDICA"
2025-06-22T00:26:00.000Z,"Salud · CONSULTA MÉDICA",-262.49,"Salud","CONSULTA MÉDICA"
2025-06-23T20:03:00.000Z,"Transporte · CABIFY",-145.61,"Transporte","CABIFY"
2025-06-23T20:45:00.000Z,"Restaurantes · MCDONALD'S",-238.01,"Restaurantes","MCDONALD'S"
2025-06-24T15:47:00.000Z,"Servicios · ENEL",-571.54,"Servicios","ENEL"
2025-06-25T00:08:00.000Z,"Transporte · RED METRO",-124.38,"Transporte","RED METRO"
2025-06-27T15:41:00.000Z,"Alimentación · TOTTUS",-211.03,"Alimentación","TOTTUS"
2025-06-27T23:24:00.000Z,"Transporte · PETROBRAS",-122.59,"Transporte","PETROBRAS"
2025-06-28T12:34:00.000Z,"Servicios · ENEL",-525.58,"Servicios","ENEL"
2025-06-28T14:36:00.000Z,"Transporte · DIDI",-27.02,"Transporte","DIDI"
2025-06-28T22:44:00.000Z,"Servicios · ENEL",-505.3,"Servicios","ENEL"
2025-06-30T00:03:00.000Z,"Transporte · RED METRO",-99.65,"Transporte","RED METRO"
2025-06-30T02:22:00.000Z,"Alimentación · MINIMARKET",-235.32,"Alimentación","MINIMARKET"
2025-07-01T17:07:00.000Z,"Restaurantes · KFC",-91.53,"Restaurantes","KFC"
2025-07-02T19:29:00.000Z,"Transporte · UBER",-45.14,"Transporte","UBER"
2025-07-03T22:26:00.000Z,"Entretenimiento · NETFLIX",-124.26,"Entretenimiento","NETFLIX"
2025-07-05T22:26:00.000Z,"Salud · SALCOBRAND",-259.82,"Salud","SALCOBRAND"
2025-07-05T22:51:00.000Z,"Salud · SALCOBRAND",-188.44,"Salud","SALCOBRAND"
2025-07-06T00:48:00.000Z,"Restaurantes · KFC",-130.13,"Restaurantes","KFC"
2025-07-07T15:29:00.000Z,"Restaurantes · SUSHI",-62.89,"Restaurantes","SUSHI"
2025-07-07T17:46:00.000Z,"Transporte · COPEC",-61.36,"Transporte","COPEC"
2025-07-07T22:13:00.000Z,"Transporte · COPEC",-116.85,"Transporte","COPEC"
2025-07-09T00:05:00.000Z,"Salud · CONSULTA MÉDICA",-258.61,"Salud","CONSULTA MÉDICA"
2025-07-09T02:51:00.000Z,"Servicios · VTR",-572.63,"Servicios","VTR"
2025-07-10T14:28:00.000Z,"Alimentación · MINIMARKET",-127.02,"Alimentación","MINIMARKET"
2025-07-10T16:54:00.000Z,"Servicios · ENEL",-346.47,"Servicios","ENEL"
2025-07-10T16:54:00.000Z,"Entretenimiento · SPOTIFY",-36.04,"Entretenimiento","SPOTIFY"
2025-07-12T00:29:00.000Z,"Restaurantes · CAFETERÍA",-213.98,"Restaurantes","CAFETERÍA"
2025-07-12T00:38:00.000Z,"Restaurantes · MCDONALD'S",-215.69,"Restaurantes","MCDONALD'S"
2025-07-12T02:16:00.000Z,"Alimentación · JUMBO",-183.59,"Alimentación","JUMBO"
2025-07-13T12:59:00.000Z,"Servicios · ENEL",-389.79,"Servicios","ENEL"
2025-07-13T19:42:00.000Z,"Salud · CRUZ VERDE",-195.3,"Salud","CRUZ VERDE"
2025-07-14T01:48:00.000Z,"Transporte · SHELL",-40.77,"Transporte","SHELL"
2025-07-15T18:19:00.000Z,"Salud · CONSULTA MÉDICA",-178.19,"Salud","CONSULTA MÉDICA"
2025-07-16T21:06:00.000Z,"Salud · SALCOBRAND",-173.18,"Salud","SALCOBRAND"
2025-07-18T01:00:00.000Z,"Restaurantes · SUSHI",-217.88,"Restaurantes","SUSHI"
2025-07-18T18:50:00.000Z,"Salud · AHUMADA",-75.13,"Salud","AHUMADA"
2025-07-20T01:05:00.000Z,"Alimentación · SANTA ISABEL",-244.35,"Alimentación","SANTA ISABEL"
2025-07-21T13:46:00.000Z,"Entretenimiento · SPOTIFY",-140.99,"Entretenimiento","SPOTIFY"
2025-07-21T20:56:00.000Z,"Transporte · CABIFY",-132.33,"Transporte","CABIFY"
2025-07-23T18:18:00.000Z,"Transporte · RED METRO",-6.98,"Transporte","RED METRO"
2025-07-24T01:26:00.000Z,"Transporte · UBER",-106.04,"Transporte","UBER"
2025-07-24T23:38:00.000Z,"Restaurantes · KFC",-112.95,"Restaurantes","KFC"
2025-07-25T14:55:00.000Z,"Transporte · RED METRO",-133.81,"Transporte","RED METRO"
2025-07-26T12:45:00.000Z,"Transporte · CABIFY",-134.2,"Transporte","CABIFY"
2025-07-26T16:32:00.000Z,"Salud · CONSULTA MÉDICA",-185.07,"Salud","CONSULTA MÉDICA"
2025-07-26T17:56:00.000Z,"Alimentación · JUMBO",-36.38,"Alimentación","JUMBO"
2025-07-27T14:11:00.000Z,"Alimentación · MINIMARKET",-272.84,"Alimentación","MINIMARKET"
2025-07-29T14:32:00.000Z,"Restaurantes · CAFETERÍA",-130.33,"Restaurantes","CAFETERÍA"
2025-07-30T01:39:00.000Z,"Salud · CONSULTA MÉDICA",-155.72,"Salud","CONSULTA MÉDICA"
2025-07-31T01:57:00.000Z,"Servicios · MOVISTAR",-383.36,"Servicios","MOVISTAR"
2025-07-31T13:15:00.000Z,"Salud · CONSULTA MÉDICA",-134.97,"Salud","CONSULTA MÉDICA"
2025-07-31T16:37:00.000Z,"Servicios · CLARO",-451.72,"Servicios","CLARO"
2025-07-31T17:44:00.000Z,"Restaurantes · MCDONALD'S",-182.78,"Restaurantes","MCDONALD'S"
2025-08-01T16:17:00.000Z,"Restaurantes · DOMINO'S",-107.15,"Restaurantes","DOMINO'S"
2025-08-01T18:00:00.000Z,"Salud · CONSULTA MÉDICA",-148.93,"Salud","CONSULTA MÉDICA"
2025-08-02T13:28:00.000Z,"Alimentación · TOTTUS",-322.47,"Alimentación","TOTTUS"
2025-08-02T20:02:00.000Z,"Salud · CONSULTA MÉDICA",-117.62,"Salud","CONSULTA MÉDICA"
2025-08-03T13:48:00.000Z,"Servicios · ENEL",-565.05,"Servicios","ENEL"
2025-08-04T21:24:00.000Z,"Salud · CONSULTA MÉDICA",-154.64,"Salud","CONSULTA MÉDICA"
2025-08-04T23:42:00.000Z,"Restaurantes · MCDONALD'S",-147.64,"Restaurantes","MCDONALD'S"
2025-08-06T22:31:00.000Z,"Transporte · UBER",-6.51,"Transporte","UBER"
2025-08-06T23:02:00.000Z,"Transporte · COPEC",-95.05,"Transporte","COPEC"
2025-08-09T17:32:00.000Z,"Entretenimiento · SPOTIFY",-126.82,"Entretenimiento","SPOTIFY"
2025-08-10T21:41:00.000Z,"Servicios · ENTEL",-528.84,"Servicios","ENTEL"
2025-08-11T17:41:00.000Z,"Servicios · ENEL",-431.54,"Servicios","ENEL"
2025-08-11T23:35:00.000Z,"Alimentación · LIDER",-244.13,"Alimentación","LIDER"
2025-08-13T13:59:00.000Z,"Alimentación · JUMBO",-265.15,"Alimentación","JUMBO"
2025-08-13T16:03:00.000Z,"Alimentación · SANTA ISABEL",-49.38,"Alimentación","SANTA ISABEL"
2025-08-13T21:42:00.000Z,"Alimentación · TOTTUS",-183.73,"Alimentación","TOTTUS"
2025-08-14T20:35:00.000Z,"Alimentación · SANTA ISABEL",-55.52,"Alimentación","SANTA ISABEL"
2025-08-14T23:16:00.000Z,"Entretenimiento · CINEMARK",-176.78,"Entretenimiento","CINEMARK"
2025-08-15T00:30:00.000Z,"Alimentación · MINIMARKET",-243.72,"Alimentación","MINIMARKET"
2025-08-15T12:04:00.000Z,"Transporte · COPEC",-76.8,"Transporte","COPEC"
2025-08-15T20:46:00.000Z,"Alimentación · UNIMARC",-327.67,"Alimentación","UNIMARC"
2025-08-16T00:36:00.000Z,"Servicios · CLARO",-128.02,"Servicios","CLARO"
2025-08-18T13:48:00.000Z,"Transporte · SHELL",-35.02,"Transporte","SHELL"
2025-08-18T18:57:00.000Z,"Alimentación · UNIMARC",-103.09,"Alimentación","UNIMARC"
2025-08-20T15:27:00.000Z,"Restaurantes · CAFETERÍA",-140.56,"Restaurantes","CAFETERÍA"
2025-08-21T02:05:00.000Z,"Salud · CONSULTA MÉDICA",-71,"Salud","CONSULTA MÉDICA"
2025-08-21T14:45:00.000Z,"Transporte · DIDI",-101.08,"Transporte","DIDI"
2025-08-21T21:23:00.000Z,"Restaurantes · KFC",-187.61,"Restaurantes","KFC"
2025-08-23T00:15:00.000Z,"Salud · AHUMADA",-298.36,"Salud","AHUMADA"
2025-08-23T00:24:00.000Z,"Entretenimiento · CINEHOYTS",-157.56,"Entretenimiento","CINEHOYTS"
2025-08-23T13:00:00.000Z,"Transporte · CABIFY",-105.67,"Transporte","CABIFY"
2025-08-24T14:17:00.000Z,"Salud · AHUMADA",-296.9,"Salud","AHUMADA"
2025-08-25T02:14:00.000Z,"Alimentación · MINIMARKET",-139.24,"Alimentación","MINIMARKET"
2025-08-25T22:05:00.000Z,"Restaurantes · MCDONALD'S",-154.52,"Restaurantes","MCDONALD'S"
2025-08-26T02:59:00.000Z,"Transporte · CABIFY",-14.7,"Transporte","CABIFY"
2025-08-26T23:06:00.000Z,"Entretenimiento · CINEHOYTS",-39.95,"Entretenimiento","CINEHOYTS"
2025-08-26T23:57:00.000Z,"Alimentación · TOTTUS",-224.46,"Alimentación","TOTTUS"
2025-08-27T02:46:00.000Z,"Salud · CRUZ VERDE",-91.66,"Salud","CRUZ VERDE"
2025-08-30T14:38:00.000Z,"Alimentación · UNIMARC",-49.29,"Alimentación","UNIMARC"
2025-08-31T01:08:00.000Z,"Restaurantes · MCDONALD'S",-182.87,"Restaurantes","MCDONALD'S"
2025-09-02T12:40:00.000Z,"Alimentación · TOTTUS",-169.01,"Alimentación","TOTTUS"
2025-09-03T21:23:00.000Z,"Salud · CRUZ VERDE",-148.85,"Salud","CRUZ VERDE"
2025-09-03T23:16:00.000Z,"Restaurantes · SUSHI",-66.2,"Restaurantes","SUSHI"
2025-09-05T15:52:00.000Z,"Restaurantes · KFC",-90.97,"Restaurantes","KFC"
2025-09-05T21:02:00.000Z,"Transporte · PETROBRAS",-125.91,"Transporte","PETROBRAS"
2025-09-06T02:57:00.000Z,"Entretenimiento · NETFLIX",-144.62,"Entretenimiento","NETFLIX"
2025-09-06T16:00:00.000Z,"Entretenimiento · STEAM",-121.52,"Entretenimiento","STEAM"
2025-09-08T00:34:00.000Z,"Restaurantes · MCDONALD'S",-158.26,"Restaurantes","MCDONALD'S"
2025-09-08T01:52:00.000Z,"Salud · SALCOBRAND",-296.71,"Salud","SALCOBRAND"
2025-09-12T13:11:00.000Z,"Servicios · MOVISTAR",-265.07,"Servicios","MOVISTAR"
2025-09-12T14:49:00.000Z,"Salud · AHUMADA",-90.84,"Salud","AHUMADA"
2025-09-12T15:35:00.000Z,"Alimentación · SANTA ISABEL",-75.65,"Alimentación","SANTA ISABEL"
2025-09-13T22:17:00.000Z,"Transporte · RED METRO",-65.59,"Transporte","RED METRO"
2025-09-13T23:50:00.000Z,"Transporte · CABIFY",-56.48,"Transporte","CABIFY"
2025-09-15T17:18:00.000Z,"Salud · CONSULTA MÉDICA",-52.87,"Salud","CONSULTA MÉDICA"
2025-09-15T18:52:00.000Z,"Servicios · CLARO",-107.35,"Servicios","CLARO"
2025-09-16T01:18:00.000Z,"Servicios · MOVISTAR",-285.37,"Servicios","MOVISTAR"
2025-09-16T11:09:00.000Z,"Restaurantes · CAFETERÍA",-90.66,"Restaurantes","CAFETERÍA"
2025-09-16T22:15:00.000Z,"Restaurantes · DOMINO'S",-218.33,"Restaurantes","DOMINO'S"
2025-09-17T00:58:00.000Z,"Entretenimiento · NETFLIX",-140.68,"Entretenimiento","NETFLIX"
