date,description,amount_clp,tx_type,category,is_gasto_hormiga
01/11/2025,Intereses Pagados,192,INTERESES,INTERESES,0
03/11/2025,0690739003 PAGO PROVEEDOR,800000,PAGO_PROVEEDOR,INGRESO_NEGOCIO,0
03/11/2025,Compra STA ISABEL CURACA,2390,COMPRA,SUPERMERCADO_MINIMARKET,1
03/11/2025,Compra SBA CURACAVI O HI,3100,COMPRA,SUPERMERCADO_MINIMARKET,1
03/11/2025,Compra DIMOVA SPA,4000,COMPRA,OTRAS_COMPRAS,1
03/11/2025,Compra MERPAGO*VENTA,5000,COMPRA,E_COMMERCE,1
03/11/2025,Compra PRIME VIDEO PRIME,6490,COMPRA,SUSCRIPCION_DIGITAL,0
03/11/2025,Compra MERPAGO*KAUERT,8000,COMPRA,E_COMMERCE,0
03/11/2025,0187558646 Transf a Xioma,10000,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
03/11/2025,Giro en Cajero Automatico,10000,GIRO_ATM,EFECTIVO,0
03/11/2025,0119469384 Transf a Victo,20200,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
03/11/2025,Compra UNO SPA.,22990,COMPRA,OTRAS_COMPRAS,0
03/11/2025,Compra MERCADOPAGO *MERC,23980,COMPRA,E_COMMERCE,0
03/11/2025,0137724677 Transf a Tio C,32293,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
03/11/2025,Compra STA ISABEL CURACA,37715,COMPRA,SUPERMERCADO_MINIMARKET,0
03/11/2025,0202438725 Transf a Franc,55000,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
03/11/2025,0144784324 Transf a Gonza,55480,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
04/11/2025,Compra MERCADOPAGO *DANI,2500,COMPRA,E_COMMERCE,1
04/11/2025,Compra EL POETA 2.0,2500,COMPRA,RESTAURANTE_CAFE,1
04/11/2025,Compra PAGO ONLINE KUSHK,3737,COMPRA,E_COMMERCE,1
04/11/2025,Compra PAGO ONLINE KUSHK,3737,COMPRA,E_COMMERCE,1
04/11/2025,Compra MERPAGO*PUNTO23,4580,COMPRA,E_COMMERCE,1
04/11/2025,Compra OPENAI *CHATGPT S,22977,COMPRA,SUSCRIPCION_DIGITAL,0
05/11/2025,Compra EL POETA 2.0,2500,COMPRA,RESTAURANTE_CAFE,1
05/11/2025,Compra MERPAGO*PUNTO23,2990,COMPRA,E_COMMERCE,1
05/11/2025,Compra SBA CURACAVI O HI,9190,COMPRA,SUPERMERCADO_MINIMARKET,0
05/11/2025,Compra MERCADOPAGO *GUIZ,24882,COMPRA,E_COMMERCE,0
05/11/2025,0186303199 Transf a Diego,65000,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
06/11/2025,Compra EL POETA 2.0,9000,COMPRA,RESTAURANTE_CAFE,0
06/11/2025,Compra MERCADOPAGO *COME,13886,COMPRA,E_COMMERCE,0
07/11/2025,0089232724 Transf a Lilia,2300,TRANSFERENCIA_ENVIADA,TRANSFERENCIA_SALIENTE,0
07/11/2025,Compra STA ISABEL CURACA,4880,COMPRA,SUPERMERCADO_MINIMARKET,1
07/11/2025,Giro en Cajero Automatico,5000,GIRO_ATM,EFECTIVO,0
